scenario_id,timestamp,outage_line_count,disconnected_load_count
83,2024-09-01 03:00:00,3,3
83,2024-09-01 04:00:00,0,0
83,2024-09-01 05:00:00,0,0
84,2024-09-01 00:00:00,15,4
84,2024-09-01 01:00:00,1,0
84,2024-09-01 02:00:00,0,0
84,2024-09-01 03:00:00,2,2
84,2024-09-01 04:00:00,0,0
84,2024-09-01 05:00:00,0,0
85,2024-09-01 00:00:00,15,4
85,2024-09-01 01:00:00,1,0
85,2024-09-01 02:00:00,0,0
85,2024-09-01 03:00:00,3,3
85,2024-09-01 04:00:00,0,0
85,2024-09-01 05:00:00,0,0
86,2024-09-01 00:00:00,15,4
86,2024-09-01 01:00:00,1,0
86,2024-09-01 02:00:00,0,0
86,2024-09-01 03:00:00,2,2
86,2024-09-01 04:00:00,0,0
86,2024-09-01 05:00:00,0,0
87,2024-09-01 00:00:00,15,4
87,2024-09-01 01:00:00,1,0
87,2024-09-01 02:00:00,0,0
87,2024-09-01 03:00:00,3,3
87,2024-09-01 04:00:00,0,0
87,2024-09-01 05:00:00,0,0
88,2024-09-01 00:00:00,15,4
88,2024-09-01 01:00:00,1,0
88,2024-09-01 02:00:00,0,0
88,2024-09-01 03:00:00,2,2
88,2024-09-01 04:00:00,0,0
88,2024-09-01 05:00:00,0,0
89,2024-09-01 00:00:00,15,4
89,2024-09-01 01:00:00,1,0
89,2024-09-01 02:00:00,0,0
