wind_renewables_ninja_wind_electricity,pv_renewables_ninja_pv_electricity
0.28364389233954457,0.0
0.3022774327122153,0.0685785536159601
0.15734989648033126,0.3403990024937656
0.21739130434782608,0.5810473815461347
0.2339544513457557,0.7394014962593516
0.18219461697722567,0.8254364089775561
0.12732919254658384,0.8491271820448878
0.09420289855072464,0.8092269326683291
0.07763975155279502,0.6957605985037407
0.06832298136645963,0.5174563591022443
0.07142857142857144,0.22443890274314213
0.11387163561076605,0.0199501246882793
0.2018633540372671,0.0
0.2670807453416149,0.0
0.2546583850931677,0.0
0.2267080745341615,0.0
0.21325051759834368,0.0
0.18322981366459626,0.0
0.15424430641821946,0.0
0.13768115942028986,0.0
0.13561076604554867,0.0
0.13043478260869565,0.0
0.12939958592132506,0.0
0.18219461697722567,0.0
0.2577639751552795,0.0
0.26811594202898553,0.06359102244389027
0.2619047619047619,0.3254364089775561
0.2950310559006211,0.5660847880299251
0.2349896480331263,0.7344139650872817
0.14492753623188406,0.844139650872818
0.08074534161490683,0.8665835411471321
0.053830227743271224,0.8229426433915212
0.04865424430641822,0.7132169576059849
0.04865424430641822,0.5336658354114713
0.046583850931677016,0.286783042394015
0.08074534161490683,0.03865336658354115
0.15217391304347827,0.0
0.21428571428571427,0.0
0.2453416149068323,0.0
0.23291925465838512,0.0
0.18633540372670807,0.0
0.12215320910973085,0.0
0.06625258799171843,0.0
0.035196687370600416,0.0
0.019668737060041408,0.0
0.015527950310559006,0.0
