category,severity,timestamp,entity,rule,value,threshold,detail
load,critical,2024-09-01 09:00:00,bus:7,served>=0,-0.0165413105049999,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:9,shed<=demand,0.0992478630299997,0.0827065525249997,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:9,served>=0,-0.0165413105049999,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:10,shed<=demand,0.0708913307357141,0.0590761089464284,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:10,served>=0,-0.0118152217892856,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:11,shed<=demand,0.0708913307357141,0.0590761089464284,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:11,served>=0,-0.0118152217892856,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:12,shed<=demand,0.0708913307357141,0.0590761089464284,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:12,served>=0,-0.0118152217892856,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:13,shed<=demand,0.0708913307357141,0.0590761089464284,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:13,served>=0,-0.0118152217892856,0.0,Negative served load.
load,critical,2024-09-01 09:00:00,bus:14,shed<=demand,0.0708913307357141,0.0590761089464284,Load shedding exceeds demand.
load,critical,2024-09-01 09:00:00,bus:14,served>=0,-0.0118152217892856,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:6,shed<=demand,0.1054210000754059,0.0878508333961715,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:6,served>=0,-0.0175701666792343,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:7,shed<=demand,0.1054210000754059,0.0878508333961715,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:7,served>=0,-0.0175701666792343,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:8,shed<=demand,0.1054210000754059,0.0878508333961715,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:8,served>=0,-0.0175701666792343,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:9,shed<=demand,0.1054210000754059,0.0878508333961715,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:9,served>=0,-0.0175701666792343,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:10,shed<=demand,0.0753007143395756,0.0627505952829797,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:10,served>=0,-0.0125501190565959,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:11,shed<=demand,0.0753007143395756,0.0627505952829797,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:11,served>=0,-0.0125501190565959,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:12,shed<=demand,0.0753007143395756,0.0627505952829797,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:12,served>=0,-0.0125501190565959,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:13,shed<=demand,0.0753007143395756,0.0627505952829797,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:13,served>=0,-0.0125501190565959,0.0,Negative served load.
load,critical,2024-09-01 10:00:00,bus:14,shed<=demand,0.0753007143395756,0.0627505952829797,Load shedding exceeds demand.
load,critical,2024-09-01 10:00:00,bus:14,served>=0,-0.0125501190565959,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:6,shed<=demand,0.1100234981778632,0.0916862484815526,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:6,served>=0,-0.0183372496963105,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:7,shed<=demand,0.1100234981778632,0.0916862484815526,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:7,served>=0,-0.0183372496963105,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:8,shed<=demand,0.1100234981778632,0.0916862484815526,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:8,served>=0,-0.0183372496963105,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:9,shed<=demand,0.1100234981778632,0.0916862484815526,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:9,served>=0,-0.0183372496963105,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:10,shed<=demand,0.078588212984188,0.0654901774868233,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:10,served>=0,-0.0130980354973646,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:11,shed<=demand,0.078588212984188,0.0654901774868233,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:11,served>=0,-0.0130980354973646,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:12,shed<=demand,0.078588212984188,0.0654901774868233,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:12,served>=0,-0.0130980354973646,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:13,shed<=demand,0.078588212984188,0.0654901774868233,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:13,served>=0,-0.0130980354973646,0.0,Negative served load.
load,critical,2024-09-01 11:00:00,bus:14,shed<=demand,0.078588212984188,0.0654901774868233,Load shedding exceeds demand.
load,critical,2024-09-01 11:00:00,bus:14,served>=0,-0.0130980354973646,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:6,shed<=demand,0.10828093029043,0.0902341085753583,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:6,served>=0,-0.0180468217150716,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:7,shed<=demand,0.10828093029043,0.0902341085753583,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:7,served>=0,-0.0180468217150716,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:8,shed<=demand,0.10828093029043,0.0902341085753583,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:8,served>=0,-0.0180468217150716,0.0,Negative served load.
load,critical,2024-09-01 12:00:00,bus:9,shed<=demand,0.10828093029043,0.0902341085753583,Load shedding exceeds demand.
load,critical,2024-09-01 12:00:00,bus:9,served>=0,-0.0180468217150716,0.0,Negative served load.
