timestamp,line_id,from_bus,to_bus,flow_mw,limit_mw,loading,overload_flag,selected_strategy,static_risk_prob,static_risk_level,predicted_fail_hour,hourly_risk_prob,effective_risk_prob,flow_abs_mw,stress_score,high_risk_flag,near_overload_flag,action_priority,recommended_action,critical_line_flag
2024-09-01 07:00:00,L3,4,5,0.0701630269279789,3.4362151709492705,0.0204186942427694,0,Robust_UC,0.685386,MEDIUM,5,0.6788604358047851,0.6788604358047851,0.0701630269279789,0.31540602783156485,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L5,7,8,-0.0663369536821008,3.4351471668433957,0.0193112406718396,0,Robust_UC,0.686061,HIGH,5,0.6764500612143973,0.6764500612143973,0.0663369536821008,0.313774079768541,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L4,5,6,-0.0419900854047605,3.4335886719629705,0.0122292124702155,0,Robust_UC,0.687046,HIGH,6,0.682900623161179,0.682900623161179,0.0419900854047605,0.31325577215044215,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L13,11,4,0.0466961041704271,3.4367309773767003,0.0135873609187969,0,Robust_UC,0.68506,MEDIUM,5,0.6770976223625292,0.6770976223625292,0.0466961041704271,0.31128950033917685,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L8,10,11,0.033961903868472,3.4354288034816856,0.0098857830597603,0,Robust_UC,0.685883,HIGH,5,0.6783940539596002,0.6783940539596002,0.033961903868472,0.31007863964203136,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L2,3,4,0.0483542353922416,3.4391438755418253,0.0140599629274374,0,Robust_UC,0.683535,MEDIUM,5,0.6737838478063375,0.6737838478063375,0.0483542353922416,0.3100183937217076,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L7,9,10,-0.0169748973393479,3.43507280211306,0.0049416412161355,0,Robust_UC,0.686108,HIGH,5,0.6784280262974547,0.6784280262974547,0.0169748973393479,0.30769269583888864,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L12,6,7,-0.0037874844988954,3.43300324749012,0.0011032568937021,0,Robust_UC,0.687416,HIGH,6,0.6816805778602366,0.6816805778602366,0.0037874844988954,0.30729281370926764,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L6,8,9,-0.0217316140417693,3.436276877853165,0.0063241743358429,0,Robust_UC,0.685347,MEDIUM,5,0.6754332327460598,0.6754332327460598,0.0217316140417693,0.30701272725649353,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L1,2,3,0.0296442867613961,3.440684965910896,0.0086158096585713,0,Robust_UC,0.682561,LOW,-,0.6697848201578078,0.6697848201578078,0.0296442867613961,0.30557285015604957,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L9,3,8,0.0064027387344593,3.4387340784108305,0.0018619464571736,0,Robust_UC,0.683794,MEDIUM,5,0.6723983594653087,0.6723983594653087,0.0064027387344593,0.30348133696804286,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L14,14,8,0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.6672386184396911,0.6672386184396911,0.0,0.30025737829786103,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 07:00:00,L0,1,2,0.0296442867613961,3.442276687585725,0.0086118256758109,0,Robust_UC,0.681555,LOW,-,0.5413303607939542,0.5413303607939542,0.0296442867613961,0.24754516988384953,False,False,low,monitor,False
2024-09-01 07:00:00,L11,13,14,0.0,4.63655878779627,0.0,0,Robust_UC,0.678129,LOW,-,0.1266908654893223,0.1266908654893223,0.0,0.05701088947019503,False,False,low,monitor,False
2024-09-01 07:00:00,L10,12,13,0.0,4.652438741069581,0.0,0,Robust_UC,0.670666,LOW,-,0.1154829063473299,0.1154829063473299,0.0,0.05196730785629845,False,False,low,monitor,False
2024-09-01 08:00:00,L3,4,5,0.0919162901983554,3.4362151709492705,0.0267492824592131,0,Robust_UC,0.685386,MEDIUM,5,0.676478228051153,0.676478228051153,0.0919162901983554,0.31739651292367305,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L12,6,7,-0.0482253079413075,3.43300324749012,0.0140475567497832,0,Robust_UC,0.687416,HIGH,6,0.6797471034630891,0.6797471034630891,0.0482253079413075,0.3127125986230939,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L13,11,4,0.0640244790875688,3.4367309773767003,0.0186294707118564,0,Robust_UC,0.68506,MEDIUM,5,0.6743581879241817,0.6743581879241817,0.0640244790875688,0.31249408653727834,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L6,8,9,-0.0728270302491209,3.436276877853165,0.0211935862091008,0,Robust_UC,0.685347,MEDIUM,5,0.6703123940536223,0.6703123940536223,0.0728270302491209,0.31189959719939614,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L8,10,11,0.0469180404204826,3.4354288034816856,0.0136571133050211,0,Robust_UC,0.685883,HIGH,5,0.6757244453221914,0.6757244453221914,0.0469180404204826,0.31070167911429114,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L5,7,8,-0.0551686672697329,3.4351471668433957,0.0160600593192134,0,Robust_UC,0.686061,HIGH,5,0.6724514652580745,0.6724514652580745,0.0551686672697329,0.3103841022121256,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L4,5,6,-0.005130089998385,3.4335886719629705,0.0014940898542317,0,Robust_UC,0.687046,HIGH,6,0.6813442019835811,0.6813442019835811,0.005130089998385,0.30733142023347726,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L7,9,10,-0.0215077142478622,3.43507280211306,0.0062612106021834,0,Robust_UC,0.686108,HIGH,5,0.6756662440972869,0.6756662440972869,0.0215077142478622,0.3070873312847592,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L2,3,4,0.0420446299746213,3.4391438755418253,0.0122253187119126,0,Robust_UC,0.683535,MEDIUM,5,0.6688278333541569,0.6688278333541569,0.0420446299746213,0.30688671324377054,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L9,3,8,0.025436854963553,3.4387340784108305,0.0073971567395256,0,Robust_UC,0.683794,MEDIUM,5,0.6648555490970334,0.6648555490970334,0.025436854963553,0.3027576100936618,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 08:00:00,L1,2,3,0.0316343038020009,3.440684965910896,0.0091941878188275,0,Robust_UC,0.682561,LOW,-,0.4400176582209039,0.4400176582209039,0.0316343038020009,0.2020350329346531,False,False,low,monitor,False
2024-09-01 08:00:00,L0,1,2,0.0316343038020009,3.442276687585725,0.0091899363918325,0,Robust_UC,0.681555,LOW,-,0.3338584375540391,0.3338584375540391,0.0316343038020009,0.15406640219745862,False,False,low,monitor,False
2024-09-01 08:00:00,L14,14,8,-0.0,4.6258728538101295,0.0,0,Robust_UC,0.683151,LOW,-,0.3022794430869129,0.3022794430869129,0.0,0.1360257493891108,False,False,low,monitor,False
2024-09-01 08:00:00,L11,13,14,0.0,4.63655878779627,0.0,0,Robust_UC,0.678129,LOW,-,0.1204804111892811,0.1204804111892811,0.0,0.054216185035176494,False,False,low,monitor,False
2024-09-01 08:00:00,L10,12,13,0.0,4.652438741069581,0.0,0,Robust_UC,0.670666,LOW,-,0.1116191085928033,0.1116191085928033,0.0,0.05022859886676149,False,False,low,monitor,False
2024-09-01 09:00:00,L4,5,6,-0.0751774363682387,3.4335886719629705,0.0218947123696269,0,Robust_UC,0.687046,HIGH,6,0.6799976496708477,0.6799976496708477,0.0751774363682387,0.31663976227156404,True,False,low,monitor corridor and pre-position reserve,False
2024-09-01 09:00:00,L12,6,7,-0.0512482477861493,3.43300324749012,0.0149281093234086,0,Robust_UC,0.687416,HIGH,6,0.6779394527425944,0.6779394527425944,0.0512482477861493,0.31232166285039914,True,False,low,monitor corridor and pre-position reserve,False
