"scenario","scenario_id","timestamp","failed_lines","outage_line_count","disconnected_load_count","probability","method"
"S124","123","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S125","124","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S126","125","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S127","126","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S128","127","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S129","128","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S130","129","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S131","130","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S132","131","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S133","132","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S134","133","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S135","134","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S136","135","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S137","136","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S138","137","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S139","138","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S140","139","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S141","140","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S142","141","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S143","142","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S144","143","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S145","144","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S146","145","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
"S147","146","2024-09-01 17:00:00","","0","0","0.00390625","c3po_ref"
"S148","147","2024-09-01 17:00:00","L4","1","0","0.00390625","c3po_ref"
